Date,Open,High,Low,Close,Volume,Market Cap
3/4/2018,10.21,10.39,9.9,10.35,37886900,1024606773
3/3/2018,10.29,10.45,10.13,10.22,40001900,1011715151
3/2/2018,10.46,10.54,10.14,10.22,46449100,1012398347
3/1/2018,10.45,10.67,10.33,10.51,72474200,1040607436
2/28/2018,10.69,11.18,10.39,10.44,69036400,1033527935
2/27/2018,9.97,11.1,9.82,10.66,97184400,1055479339
2/26/2018,9.37,10.06,9.13,9.9,53540300,980468312
2/25/2018,9.15,9.49,8.94,9.35,43814500,925444252
2/24/2018,9.69,9.84,8.78,9.14,48709200,905177077
2/23/2018,8.87,9.73,8.66,9.69,53626800,959654580
2/22/2018,9.4,9.81,8.71,8.9,47216100,881623626
2/21/2018,9.88,10.19,9.15,9.38,55087600,928829541
2/20/2018,11.09,11.19,9.79,9.9,66512400,980685153
2/19/2018,10.67,11.19,10.65,11.08,54898800,1096649360
2/18/2018,11.69,11.7,10.68,10.7,62044700,1059687434
